Project,Group,File (.java),Method/Field,Line,Warning,Source,Reason
jsoup,Baseline,TokenData,reset,71,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,TokenData,stack,113,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,Tokenizer,consumeCharacterReference,137,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,Tokenizer,consumeCharacterReference,139,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,Tokenizer,consumeCharacterReference,141,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,Tokenizer,consumeCharacterReference,151,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,Tokenizer,consumeCharacterReference,192,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,Tokenizer,consumeCharacterReference,195,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,Tokenizer,consumeCharacterReference,202,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,XmlTreeBuilder,initialiseParseFragment,75,Uncertain,IDE,Unsafe dereference with Java API
jsoup,Baseline,XmlTreeBuilder,insertElementFor,148,Uncertain,IDE,Unsafe dereference with Java API
jsoup,Experimental,CharacterReader,close,71,False positive,Both,Null assignment to unannotated variable
jsoup,Experimental,CharacterReader,close,74,Uncertain,Both,Unsafe null assignment
jsoup,Experimental,CharacterReader,close,76,Uncertain,Both,Unsafe null assignment
jsoup,Experimental,CharacterReader,columnNumber,224,False positive,NA,Nullable variable checked to be non-null
jsoup,Experimental,CharacterReader,scanBufferForNewLines,252,False positive,NA,Nullable variable checked to be non-null
jsoup,Experimental,HtmlTreeBuilder,state,67,False positive,IDE,Late-init non-null field
jsoup,Experimental,HtmlTreeBuilder,originalState,68,False positive,IDE,Late-init non-null field
jsoup,Experimental,HtmlTreeBuilder,formattingElements,74,False positive,IDE,Late-init non-null field
jsoup,Experimental,HtmlTreeBuilder,tmplInsertMode,75,False positive,IDE,Late-init non-null field
jsoup,Experimental,HtmlTreeBuilder,pendingTableCharacters,76,False positive,IDE,Late-init non-null field
jsoup,Experimental,HtmlTreeBuilder,emptyFind,77,False positive,IDE,Late-init non-null field
jsoup,Experimental,HtmlTreeBuilder,initialiseParse,98,False positive,IDE,Null assignment to unannotated variable
jsoup,Experimental,HtmlTreeBuilder,inSpecificScope,731,False positive,IDE,Nullable variable checked to be non-null
